iter	Logloss
0	0.5710158895
1	0.509118042
2	0.4758980509
3	0.4571253764
4	0.4460749512
5	0.4402916667
6	0.4360239461
7	0.4332130737
8	0.431359609
9	0.4298810323
10	0.4287992757
11	0.4279867147
12	0.4270986633
13	0.4262732849
14	0.4258100993
15	0.4253996582
16	0.4242813924
17	0.4238370056
18	0.4233930969
19	0.4224850362
20	0.4220346476
21	0.4213483276
22	0.4209283447
23	0.4207232056
24	0.4206341756
25	0.4202658386
26	0.4197291056
27	0.4193916524
28	0.4188706767
29	0.4185705261
30	0.4177669779
31	0.4172419739
32	0.4167939046
33	0.4165155945
34	0.4159391886
35	0.4152760518
36	0.4149584249
37	0.4146357117
38	0.4141044922
39	0.4135756938
40	0.4129759623
41	0.4124053243
42	0.411813151
43	0.4114457397
44	0.4111661174
45	0.4106322937
46	0.4101813151
47	0.4100346069
48	0.4096864624
49	0.4089396871
50	0.4087440898
51	0.408221283
52	0.408080658
53	0.4074635213
54	0.4069755859
55	0.4068307495
56	0.4063907572
57	0.4060923258
58	0.4057798157
59	0.4054564311
60	0.4053036601
61	0.4047556966
62	0.4043936666
63	0.4042057902
64	0.4037914734
65	0.4030421448
66	0.4023893433
67	0.4020013835
68	0.4017662354
69	0.4015595703
70	0.4013004049
71	0.4008444112
72	0.4006818441
73	0.4003124186
74	0.4001481425
75	0.3999084676
76	0.3996036174
77	0.3989600118
78	0.3986375326
79	0.3983343608
80	0.3980571696
81	0.3975656026
82	0.3975169169
83	0.3972165222
84	0.3970552877
85	0.3962465922
86	0.3961503601
87	0.3956545512
88	0.3954782104
89	0.3950531514
90	0.3949357605
91	0.3945292664
92	0.394155009
93	0.3940625
94	0.393783905
95	0.3933877055
96	0.3930842794
97	0.392634257
98	0.3924674072
99	0.3922695313
