iter	Passed	Remaining
0	167	16601
1	180	8830
2	190	6155
3	204	4896
4	213	4062
5	225	3527
6	235	3132
7	245	2820
8	259	2627
9	272	2451
10	281	2278
11	291	2137
12	302	2021
13	310	1907
14	320	1818
15	330	1733
16	343	1676
17	353	1610
18	362	1546
19	374	1498
20	385	1449
21	393	1396
22	404	1355
23	413	1310
24	418	1256
25	427	1216
26	438	1186
27	449	1155
28	458	1122
29	469	1095
30	479	1068
31	489	1039
32	499	1014
33	507	986
34	518	962
35	528	939
36	538	917
37	549	896
38	558	874
39	569	854
40	580	834
41	588	813
42	599	794
43	607	773
44	617	754
45	627	736
46	636	717
47	646	700
48	654	681
49	666	666
50	677	650
51	685	633
52	697	618
53	706	601
54	715	585
55	725	569
56	734	553
57	745	540
58	754	524
59	766	510
60	776	496
61	785	481
62	798	468
63	808	454
64	817	440
65	828	426
66	839	413
67	847	398
68	858	385
69	867	371
70	877	358
71	887	345
72	895	331
73	906	318
74	917	305
75	948	299
76	964	288
77	982	277
78	1042	277
79	1066	266
80	1094	256
81	1132	248
82	1142	233
83	1154	219
84	1164	205
85	1173	191
86	1183	176
87	1192	162
88	1202	148
89	1213	134
90	1221	120
91	1232	107
92	1241	93
93	1251	79
94	1261	66
95	1271	52
96	1282	39
97	1292	26
98	1302	13
99	1313	0
